002007,2004-06-25
600759,1996-10-08
603160,2016-10-17
000795,1997-08-08
002228,2008-05-08
002675,2012-05-25
000419,1996-08-16
000609,1996-10-10
002091,2006-12-08
600162,1998-06-09
000028,1993-08-09
603826,2017-04-14
603688,2014-10-31
600966,2004-06-08
002273,2008-09-19
002639,2011-12-05
300387,2014-07-02
002470,2010-09-08
603260,2017-10-30
600614,1992-08-28
600817,1994-01-28
600597,2002-08-28
002221,2008-03-06
000568,1994-05-09
603345,2017-02-22
603198,2015-05-28
000498,1997-06-09
002572,2011-04-12
603713,2018-07-13
002677,2012-05-25
600111,1997-09-24
002226,2008-05-06
603616,2015-06-11
603612,2017-07-18
600837,1994-02-24
600867,1994-08-24
000900,1999-01-28
002768,2015-06-30
300283,2012-01-10
603800,2015-12-10
002415,2010-05-28
600684,1993-10-28
600127,1998-05-06
002282,2009-08-21
002165,2007-09-13
002418,2010-06-01
002511,2010-11-25
000806,1998-04-16
600202,1999-06-03
002721,2014-01-27
300228,2011-06-08
300089,2010-06-25
603777,2016-10-12
601007,2007-04-06
603922,2017-10-23
002092,2006-12-08
002667,2012-03-29
000967,2000-03-30
002053,2006-06-27
600466,2001-02-12
600657,1993-05-24
600809,1994-01-06
601326,2017-08-16
600770,1996-11-20
000899,1997-11-26
300591,2017-01-10
600351,2002-09-26
600716,1996-07-02
300364,2015-01-21
600561,2002-07-16
300577,2016-12-21
000753,1997-06-26
603937,2017-11-02
002614,2011-09-09
000798,1998-02-12
300173,2011-02-01
002419,2010-06-01
600828,1994-02-24
002858,2017-03-24
600365,2001-01-15
002796,2016-05-10
300190,2011-03-16
603301,2018-04-12
300022,2009-10-30
600321,2001-05-24
600132,1997-10-30
002785,2015-12-23
000755,1997-06-27
002823,2016-11-24
002123,2007-03-28
002403,2010-05-11
600171,1998-09-24
600810,1994-01-06
600230,2000-04-06
300575,2016-12-20
600981,2004-06-30
002693,2012-08-08
002691,2012-07-31
300205,2011-04-21
603518,2014-12-03
002485,2010-10-15
600639,1993-03-26
000987,2000-07-18
000333,1993-11-12
002800,2016-05-30
002058,2006-08-02
000615,1996-10-16
300408,2014-12-03
600594,2004-03-23
603127,2017-08-25
002032,2004-08-17
600393,2001-03-19
000779,1997-05-28
603286,2017-06-27
000668,1996-12-10
603037,2017-01-20
600827,1994-02-04
002877,2017-06-05
600835,1994-02-24
002147,2007-08-08
600892,1996-03-15
603586,2017-04-06
600702,1996-05-24
300737,2018-01-25
600742,1996-08-26
601966,2016-07-06
002558,2011-03-02
600729,1996-07-02
000651,1996-11-18
002255,2008-06-25
000661,1996-12-18
002354,2010-02-09
002169,2007-09-19
002074,2006-10-18
002599,2011-07-15
000573,1994-08-15
000510,1993-05-07
000923,1999-07-14
300013,2009-10-30
002401,2010-05-06
002404,2010-05-11
600275,2000-08-10
600340,2003-12-30
000652,1996-11-28
603810,2018-09-17
600539,2001-08-24
600356,2001-04-19
300498,2015-11-02
000631,1996-11-22
000550,1993-12-01
002146,2007-08-08
300521,2016-07-05
601028,2011-11-07
300121,2010-09-17
300596,2017-01-19
300035,2009-12-25
600533,2002-03-28
002492,2010-11-02
002848,2017-02-13
600493,2004-04-21
002661,2012-03-16
000888,1997-10-21
603167,2012-09-06
002585,2011-06-02
603507,2017-11-06
601969,2014-12-09
600228,1999-01-19
000929,1999-06-23
000925,1999-06-11
300189,2011-03-16
603311,2015-05-18
600320,2000-12-21
300011,2009-10-30
000816,1997-08-18
600606,1992-03-27
001696,1997-03-06
603969,2015-02-27
000610,1996-09-26
603881,2017-02-08
300729,2017-12-01
002423,2010-06-03
300357,2014-01-21
000045,1994-08-15
002743,2015-02-17
000760,1997-06-27
600056,1997-05-15
600075,1997-06-17
000616,1996-11-08
002259,2008-07-16
002110,2007-01-26
600170,1998-06-23
002314,2009-12-03
002205,2008-01-23
000537,1993-12-10
002865,2017-04-25
300586,2017-01-04
300099,2010-08-06
300375,2014-01-27
002528,2010-12-24
603829,2017-10-17
603727,2016-11-22
000506,1993-03-12
600814,1994-01-14
002067,2006-09-15
603123,2012-05-03
300238,2011-07-06
603333,2012-05-07
002689,2012-07-17
300516,2016-06-02
603798,2016-04-06
000503,1992-11-30
000153,2000-09-20
300298,2012-03-19
000404,1996-06-19
600146,1999-07-07
603357,2017-08-01
002762,2015-06-10
600608,1992-03-27
300335,2012-07-10
300284,2012-01-10
002461,2010-08-18
600761,1996-10-09
600560,2002-09-19
603161,2018-01-05
000701,1997-02-26
002211,2008-02-01
300705,2017-10-10
603486,2018-05-28
603676,2017-07-21
603477,2017-12-18
000886,1998-01-23
000531,1994-01-06
300492,2015-12-23
000151,2000-09-06
601633,2011-09-28
002170,2007-09-19
300334,2012-07-05
603580,2017-05-25
300217,2011-05-18
000509,1993-05-07
