code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600386,DR北巴传,公共交通,北京,69.18,4.03,8.06,349127.81,209166.73,47910.85,64696.73,0.8,0.023,2.2,2.93,20010216,50810.92,0.63,17.29,-25.07,18.04,2.19,32775.0
002528,英飞拓,电脑设备,深圳,120.3,6.86,10.46,401827.84,238142.13,10291.26,187584.55,1.79,0.025,2.7,2.25,20101224,-23317.42,-0.22,49.3,171.81,28.59,2.31,47743.0
601233,桐昆股份,化纤,浙江,13.42,12.05,12.32,2107671.25,884742.81,919241.63,551884.5,4.48,0.261,9.17,1.53,20110518,411275.66,3.34,26.41,105.63,10.44,5.23,32453.0
000677,恒天海龙,化纤,山东,589.57,8.64,8.64,83498.32,33049.3,40998.26,69768.81,0.81,0.002,0.32,15.61,19961226,-150191.88,-1.74,24.53,-13.05,13.69,1.33,54517.0
600885,宏发股份,电气设备,湖北,25.9,5.32,5.32,738508.38,425759.75,184415.34,66337.21,1.25,0.759,6.93,5.67,19960205,212236.92,3.99,22.86,23.61,42.13,13.33,8799.0
300047,天源迪科,软件服务,深圳,204.86,2.72,3.58,316492.38,221388.41,20090.73,105643.27,2.95,0.031,5.52,2.33,20100120,50055.95,1.4,18.05,303.23,19.13,1.16,26769.0
600567,山鹰纸业,造纸,安徽,12.48,45.51,45.51,2337829.25,967382.81,985336.19,429685.94,0.94,0.182,2.0,2.26,20011218,139189.45,0.31,38.1,450.95,21.96,11.07,257221.0
002052,同洲电子,通信设备,深圳,796.66,6.21,7.46,188399.27,139546.16,27357.44,87716.2,1.18,0.002,1.23,5.18,20060627,-79112.47,-1.06,43.04,116.44,24.91,0.79,82589.0
601212,白银有色,铜,甘肃,610.73,6.98,69.73,4913291.5,2789886.75,535547.0,368660.09,0.53,0.003,1.69,4.87,20170215,281884.63,0.4,0.0,0.0,8.01,0.42,293740.0
300166,东方国信,软件服务,北京,76.49,8.06,10.5,494996.41,314553.66,21468.02,249408.67,2.38,0.047,3.81,3.74,20110125,90173.81,0.86,22.06,46.62,50.5,21.73,27144.0
300549,优德精密,专用机械,江苏,43.43,0.33,1.33,68437.5,52947.07,9108.91,17396.86,1.3,0.306,3.48,7.63,20160930,13634.69,1.02,46.6,105.44,34.58,16.94,14643.0
600515,海航基础,百货,海南,488.76,4.23,39.08,10069674.0,5124673.5,1070530.63,2947276.75,7.54,0.006999999999999999,9.85,1.29,20020806,162779.86,0.42,-30.48,-84.96,35.99,1.89,28912.0
603197,保隆科技,汽车配件,上海,28.35,0.29,1.17,178154.98,121101.45,40121.7,10672.85,0.91,0.386,7.21,6.07,20170519,40587.65,3.47,0.0,0.0,32.92,8.91,30179.0
000795,英洛华,矿物制品,山西,77.2,6.53,11.34,253536.27,167249.73,58175.46,107030.36,0.94,0.046,1.78,3.98,19970808,-22946.15,-0.2,5.7,131.85,22.09,6.39,97686.0
300506,名家汇,建筑施工,深圳,93.08,1.32,3.0,106651.27,82276.13,3436.0,2594.49,0.09,0.067,2.04,12.28,20160324,25594.36,0.85,78.62,103.23,55.93,21.4,45846.0
300381,溢多利,饲料,广东,130.71,3.19,4.07,339885.97,154130.72,88212.06,104464.75,2.57,0.027000000000000003,4.7,3.02,20140128,41905.0,1.03,17.34,4.02,37.12,3.6,19926.0
603416,信捷电气,电气设备,江苏,37.23,0.35,1.41,102094.75,85718.61,5565.76,36960.89,2.63,0.455,6.2,5.47,20161221,32554.18,2.32,40.3,50.94,43.99,28.8,11014.0
002242,九阳股份,家用电器,山东,20.54,7.65,7.68,518460.84,341809.03,63636.48,93672.21,1.22,0.47100000000000003,4.96,3.9,20080528,171370.72,2.23,-1.24,-0.69,32.23,11.05,37201.0
600331,宏达股份,铅锌,四川,59.25,10.32,20.32,1003817.38,391377.94,323965.63,307823.06,1.51,0.023,2.35,2.37,20011220,-51898.78,-0.26,55.11,192.86,28.69,5.21,82560.0
603388,元成股份,建筑施工,浙江,61.92,0.25,1.0,115678.88,104818.96,3501.23,36115.93,3.61,0.35,7.11,5.31,20170324,22716.1,2.27,0.0,0.0,24.35,10.33,14323.0
600063,皖维高新,化纤,安徽,58.11,15.2,19.26,959025.63,260831.41,500700.94,159929.0,0.83,0.038,2.55,1.73,19970528,34133.18,0.18,27.07,19.36,17.51,3.41,103096.0
002326,永太科技,化工原料,浙江,25.35,5.17,8.22,592494.69,251725.45,136528.19,101171.55,1.23,0.268,3.29,4.14,20091222,83749.32,1.02,32.55,99.11,27.21,17.89,78591.0
002235,安妮股份,造纸,福建,64.44,2.27,4.14,266138.63,120997.35,19832.8,194952.63,4.71,0.046,5.83,2.02,20080516,991.64,0.02,78.59,2271.03,29.94,14.96,28066.0
300374,恒通科技,其他建材,北京,102.45,1.17,1.95,161622.55,92653.78,32661.4,25586.63,1.31,0.145,4.26,6.98,20150319,36407.81,1.87,482.35,431.88,17.09,5.51,18464.0
002405,四维图新,软件服务,北京,159.41,10.17,12.83,1146654.88,641264.56,78534.78,433417.59,3.38,0.05,5.08,4.91,20100518,94643.4,0.74,13.37,51.39,79.51,13.65,97957.0
300024,机器人,专用机械,辽宁,94.81,15.14,15.6,755625.75,568869.13,58277.88,265032.78,1.7,0.113,3.65,5.88,20091030,132350.81,0.85,15.47,6.67,32.21,17.22,161752.0
002813,路畅科技,汽车配件,深圳,113.09,0.3,1.2,123142.07,73889.68,40162.55,20449.9,1.7,0.14300000000000002,5.42,5.97,20161012,28934.58,2.41,8.51,-35.77,27.72,4.13,22454.0
600260,凯乐科技,通信设备,湖北,30.53,5.39,7.09,1535223.25,1265177.63,75332.3,211148.47,2.98,0.489,6.08,4.9,20000706,121168.92,1.71,105.1,351.67,11.33,4.6,29605.0
000417,合肥百货,百货,安徽,18.47,7.79,7.8,943632.5,483086.0,176257.05,30882.48,0.4,0.226,4.65,1.8,19960812,182306.8,2.34,4.29,-4.24,18.6,3.27,34284.0
603517,绝味食品,食品,湖南,28.9,0.5,4.1,287925.78,174423.13,49873.55,76670.93,1.87,0.32,5.67,5.7,20170317,108466.77,2.65,0.0,0.0,34.67,13.09,48086.0
300520,科大国创,软件服务,安徽,437.59,1.13,2.11,105942.26,92204.86,3784.46,43189.96,2.04,0.022000000000000002,2.51,7.67,20160708,16909.72,0.8,31.43,-52.7,39.17,1.72,16883.0
002270,华明装备,电气设备,山东,39.33,2.07,5.06,237047.52,182790.81,34490.73,95518.53,1.89,0.065,3.76,2.7,20080905,84132.4,1.66,29.18,8.13,54.03,16.7,28977.0
600977,中国电影,影视音像,北京,28.21,5.65,18.67,1560860.5,1176936.5,260531.95,422453.44,2.26,0.154,5.39,3.23,20160809,360917.66,1.93,-10.38,-0.4,27.4,15.94,141008.0
000952,广济药业,化学制药,湖北,38.69,2.52,2.52,161378.77,40662.1,87172.96,6079.37,0.24,0.201,2.8,5.57,19991112,31642.71,1.26,13.44,-10.84,49.02,14.11,37525.0
600070,浙江富润,纺织,浙江,29.13,3.57,5.22,350848.38,148184.44,39425.92,109557.52,2.1,0.18600000000000003,4.23,2.56,19970604,18419.8,0.35,108.95,1620.16,19.28,11.23,20411.0
600198,大唐电信,通信设备,北京,0.0,8.7,8.82,1227569.25,700967.19,77554.93,369389.81,4.19,-0.14800000000000002,2.45,5.9,19981021,-246816.5,-2.8,-18.69,13.44,14.57,-8.45,75867.0
300619,金银河,专用机械,广东,212.87,0.19,0.75,64618.45,53298.19,5905.9,18789.59,2.52,0.06,5.07,8.18,20170301,9774.76,1.31,0.0,0.0,29.08,7.3,21126.0
002538,司尔特,农药化肥,安徽,47.02,7.0,7.18,481459.81,256109.45,108132.05,137474.27,1.91,0.048,4.48,2.01,20110118,99339.7,1.38,-25.17,-27.99,22.59,7.05,53153.0
000698,沈阳化工,化工原料,辽宁,16.94,4.32,8.2,1080497.88,424473.59,526223.75,133632.0,1.63,0.10099999999999999,5.26,1.3,19970220,184842.02,2.26,59.81,-4.58,8.81,2.6,60643.0
002766,索菱股份,汽车配件,深圳,60.94,1.73,4.22,271928.47,156214.13,41864.76,112356.77,2.66,0.136,4.24,3.89,20150611,39955.28,0.95,42.13,65.82,32.66,10.15,21473.0
300548,博创科技,元器件,浙江,48.58,0.21,0.83,65996.06,51352.4,7850.32,22474.92,2.72,0.243,6.95,6.8,20161012,23427.82,2.83,0.0,0.0,37.12,22.76,14044.0
600862,中航高科,航空,江苏,59.05,7.9,13.93,805218.31,561448.19,115495.67,144466.98,1.04,0.047,2.5,4.45,19940520,32351.7,0.23,163.87,685.96,26.72,9.05,61282.0
300515,三德科技,电器仪表,湖南,97.31,0.91,2.0,51644.98,38856.65,6046.64,20991.76,1.05,0.039,2.28,6.59,20160608,12691.0,0.63,3.73,34.75,54.14,21.01,18310.0
002707,众信旅游,旅游服务,北京,51.97,4.54,8.43,456961.06,297817.34,9088.41,38995.1,0.46,0.113,2.25,5.21,20140123,70746.84,0.84,13.33,26.58,10.21,1.89,37161.0
601198,东兴证券,证券,北京,44.28,10.04,27.58,6639555.5,0.0,24678.71,976207.5,3.54,0.205,6.77,2.68,20150226,370973.81,1.35,-14.14,-25.75,0.0,40.0,121196.0
600798,宁波海运,水运,浙江,62.6,10.31,10.31,636786.44,40777.68,220091.5,116821.22,1.13,0.023,2.66,2.14,19970423,31261.53,0.3,58.46,1755.2,22.87,6.73,91247.0
300279,和晶科技,元器件,江苏,53.36,2.91,4.49,297075.69,152487.56,35245.89,99712.88,2.22,0.113,3.68,3.28,20111229,19116.1,0.43,26.55,6.63,24.17,6.44,16479.0
002742,三圣股份,其他建材,重庆,23.48,0.71,2.16,372876.94,179218.38,94189.13,46837.19,2.17,0.589,6.47,4.27,20150217,64155.44,2.97,7.72,107.15,24.66,16.08,10310.0
002492,恒基达鑫,仓储物流,广东,81.4,3.53,4.05,155480.16,52941.41,78511.5,55484.13,1.37,0.027999999999999997,2.89,3.19,20101102,30366.86,0.75,8.18,48.38,41.47,22.1,13851.0
600503,华丽家族,区域地产,上海,34.29,16.02,16.02,662347.19,375733.59,12290.17,94900.09,0.59,0.054000000000000006,2.21,3.35,20020709,77874.75,0.49,361.44,755.46,16.17,12.7,227721.0
601011,宝泰隆,焦炭加工,黑龙江,144.05,13.09,13.68,920700.31,174063.66,193695.81,211757.95,1.55,0.016,3.19,2.87,20110309,78460.55,0.57,77.56,851.65,23.17,3.59,97139.0
002777,久远银海,软件服务,四川,193.79,0.3,0.8,108930.97,94429.15,6162.93,20205.24,2.53,0.086,5.8,11.49,20151231,14443.8,1.81,24.69,24.22,39.91,7.39,10968.0
300677,英科医疗,医疗保健,山东,45.49,0.24,0.97,116781.21,0.0,0.0,0.0,0.0,0.209,7.17,5.31,20170721,0.0,0.0,0.0,0.0,20.55,5.11,49361.0
002337,赛象科技,化工机械,天津,37.83,5.77,5.89,173589.86,127616.32,22521.45,38366.12,0.65,0.079,2.05,2.92,20100115,16777.81,0.29,41.06,295.06,44.25,26.32,79106.0
002591,恒大高新,化工原料,江西,0.0,1.76,3.01,159598.38,70613.43,26199.6,82812.02,2.75,-0.038,4.14,2.98,20110621,7996.8,0.27,23.81,-981.32,42.62,-14.76,18358.0
002480,新筑股份,机械基件,四川,0.0,6.4,6.45,484331.94,238813.17,148371.98,144397.88,2.24,-0.068,3.54,2.19,20100921,12799.9,0.2,-38.43,4.76,36.62,-35.85,32642.0
300556,丝路视觉,软件服务,深圳,220.29,0.28,1.11,53624.2,45470.23,3424.5,18522.32,1.67,0.062,3.53,7.78,20161104,8363.7,0.75,23.93,-28.01,38.16,3.14,15556.0
603859,能科股份,软件服务,北京,0.0,0.28,1.14,76743.09,67404.72,3743.06,28239.8,2.49,-0.08,5.62,4.87,20161021,21558.07,1.9,0.0,0.0,27.91,-104.19,3946.0
002416,爱施德,电器连锁,深圳,35.62,9.75,10.33,1308028.13,1121672.0,1567.07,182817.77,1.77,0.153,5.09,2.14,20100528,190505.81,1.84,3.45,73.03,3.1,0.66,60370.0
002670,国盛金控,多元金融,广东,74.95,4.92,14.98,2483653.75,1756661.0,6420.25,945964.81,6.32,0.10099999999999999,7.8,1.93,20120416,73327.0,0.49,61.84,53.13,12.03,23.82,13118.0
600686,金龙汽车,汽车整车,福建,0.0,4.43,6.07,2285294.75,1984269.63,187734.09,113023.05,1.86,-0.08800000000000001,5.79,2.17,19931108,99545.55,1.64,-62.01,-194.54,10.25,-2.3,19410.0
300438,鹏辉能源,电气设备,广东,61.13,1.25,2.81,287719.19,214244.16,52457.51,109145.7,3.88,0.12,6.57,4.02,20150424,44384.71,1.58,23.26,43.61,24.45,10.39,17001.0
